B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,d,bpd,solve_s
621,22.204668489121172,22.204668489121172,621,0,6,0,24.503215029802845,621,,False,1153,4.315646248195907,0.44
1019,8.510057794813548,8.510057794813548,1019,0,5,0,8.904294434854707,1019,,False,1171,6.9645772628581,0.32
335,84.5001922451712,84.5001922451712,335,0,7,0,89.70551239118399,335,,False,1358,1.9786927456898298,0.58
1144,8.766761048483701,8.766761048483701,1144,0,5,0,9.250290101568208,1144,,False,1279,7.160103296907223,0.37
821,19.95964742038152,19.95964742038152,821,0,6,0,23.1239948800104,821,,False,1365,4.81453177494693,0.59
683,23.95976918135391,23.95976918135391,683,0,6,0,27.626779231174602,683,,False,1288,4.245175993908256,0.54
784,12.852325413736041,12.852325413736041,784,0,6,0,14.49542985717472,784,,False,1167,5.3802649104608795,0.42
247,77.89386162001527,77.89386162001527,247,0,8,0,82.070797469415,247,,False,1124,1.764334104748043,0.4
965,5.957194955776388,5.957194955776388,965,0,5,0,6.1809384344098754,965,,False,1058,7.300631954468661,0.26
1063,12.50907230687131,12.48898563186813,1064,1,5,0,13.876417968717472,1063,,False,1334,6.378887078402377,0.45
993,12.471961717011668,12.449672949125604,994,1,5,0,13.57653756740052,993,,False,1284,6.18846982496884,0.42
782,26.04247242288637,25.974814980949603,783,1,6,0,28.909043346437386,782,,False,1408,4.446001652860729,0.64
276,91.63090481533591,90.9787204434404,278,2,8,0,96.10443263735013,276,,False,1337,1.653397012546472,0.59
424,49.1926042060621,49.1926042060621,424,0,7,0,52.49658323763929,424,,False,1231,2.7581277742563186,0.52
915,11.009632252606204,11.009632252606204,915,0,5,0,11.734663987543529,915,,False,1129,6.485354072887708,0.33
580,27.976822073981204,27.976822073981204,580,0,6,0,30.439584579899638,580,,False,1217,3.8136406642559884,0.5
960,11.638328147520202,11.638328147520202,960,0,5,0,12.856995978560555,960,,False,1268,6.0622160523336746,0.44
481,64.48816074371484,64.48816074371484,481,0,7,0,68.62896472558307,481,,False,1500,2.5693254585559453,2.25
225,115.87739351580196,114.96822803864283,227,2,8,0,120.82655675289254,225,,False,1292,1.399261327030846,0.52
190,129.8608430005784,129.3487975634233,191,1,8,0,135.97026323130183,190,,False,1299,1.1745632766340712,0.51
295,69.04186818228048,68.50767980360389,297,2,8,0,72.34068287731918,295,,False,1139,2.077829649469196,0.43
1230,8.318817043762984,8.318817043762984,1230,0,5,0,8.591964450999187,1230,,False,1343,7.32786476850122,0.39
