dim,bits,var,dp_mse,lloyd_mse,ratio,k_dp,k_lloyd
20,5,0.0060465591959655285,1.482957577536581e-05,1.533262911834754e-05,1.0339223016626935,32,32
20,6,0.0060465591959655285,3.79909715775284e-06,3.915632532880409e-06,1.0306744919354733,64,64
20,7,0.0060465591959655285,9.367000757265487e-07,1.0088488124893047e-06,1.077024373790932,128,128
20,8,0.0060465591959655285,2.2867286020300526e-07,2.4779870955171646e-07,1.083638475207474,256,256
21,1,0.0059382556937634945,0.0021738598588854074,0.0021738598588854074,1.0,2,2
21,2,0.0059382556937634945,0.0006992125418037176,0.0006992142298258841,1.0000024141760417,4,4
21,3,0.0059382556937634945,0.0002059093676507473,0.00020601609139703214,1.0005183044729944,8,8
21,4,0.0059382556937634945,5.5661992519162595e-05,5.62974346394185e-05,1.0114160864801442,16,16
21,5,0.0059382556937634945,1.4823928722762503e-05,1.5461957445950247e-05,1.0430404608063202,32,32
21,6,0.0059382556937634945,3.7338322727009654e-06,3.817568995145848e-06,1.0224264820509223,64,64
21,7,0.0059382556937634945,9.267316727346042e-07,9.89921431937546e-07,1.0681856043794005,128,128
21,8,0.0059382556937634945,2.2687697764922632e-07,2.4391451347582915e-07,1.0750959220417,256,256
22,1,0.005874095018953085,0.002137581119313836,0.002137581119313836,1.0,2,2
22,2,0.005874095018953085,0.0006862803711555898,0.0006862804293632507,1.000000084816153,4,4
22,3,0.005874095018953085,0.00019883981440216303,0.00019888061797246337,1.0002052082497814,8,8
22,4,0.005874095018953085,5.431096360553056e-05,5.455788050312549e-05,1.0045463545701072,16,16
22,5,0.005874095018953085,1.4291646948549896e-05,1.4878733054501936e-05,1.041078967880018,32,32
22,6,0.005874095018953085,3.63157005267567e-06,3.8234506973822135e-06,1.0528368286783205,64,64
22,7,0.005874095018953085,9.00003215065226e-07,9.707864592201076e-07,1.078647768107975,128,128
22,8,0.005874095018953085,2.1931766980287648e-07,2.374190870568782e-07,1.0825351521848254,256,256
23,1,0.005732683464884758,0.002066756598651409,0.002066756598651409,1.0,2,2
23,2,0.005732683464884758,0.0006644538952969015,0.0006644538952969015,1.0,4,4
23,3,0.005732683464884758,0.00019423199410084635,0.00019424893253017217,1.0000872072049933,8,8
23,4,0.005732683464884758,5.3154886700212955e-05,5.469629468279891e-05,1.0289984247596897,16,16
23,5,0.005732683464884758,1.394701212120708e-05,1.4504894352285191e-05,1.0400001252045823,32,32
23,6,0.005732683464884758,3.5459240734780906e-06,3.6136652852292173e-06,1.0191039656651986,64,64
23,7,0.005732683464884758,8.787766887508042e-07,9.046382842825551e-07,1.0294290868918174,128,128
23,8,0.005732683464884758,2.136205523584067e-07,2.3096693269053503e-07,1.0812018325981343,256,256
24,1,0.005619856994599104,0.0020294031128287315,0.0020294031128287315,1.0,2,2
24,2,0.005619856994599104,0.0006548952660523355,0.0006548952660523355,1.0,4,4
24,3,0.005619856994599104,0.00018974395061377436,0.0001897471520351246,1.0000168723236755,8,8
24,4,0.005619856994599104,5.19491259183269e-05,5.216203135205433e-05,1.004098344870367,16,16
24,5,0.005619856994599104,1.3508716619980987e-05,1.4118532817519736e-05,1.0451424228291797,32,32
24,6,0.005619856994599104,3.4203569612145657e-06,3.507145720504923e-06,1.0253741817811726,64,64
24,7,0.005619856994599104,8.468146006634925e-07,9.141916734733968e-07,1.079565317788703,128,128
24,8,0.005619856994599104,2.071305971185211e-07,2.2491549600545113e-07,1.0858632144856581,256,256
25,1,0.005607679020613432,0.002017019782215357,0.002017019782215357,1.0,2,2
25,2,0.005607679020613432,0.0006469873478636146,0.0006469872896559536,0.9999999100327679,4,4
25,3,0.005607679020613432,0.00018814993381965905,0.00018822101992554963,1.000377816268374,8,8
25,4,0.005607679020613432,5.1470924518071115e-05,5.214890916249715e-05,1.0131721870313015,16,16
25,5,0.005607679020613432,1.3594219126389362e-05,1.4178815945342649e-05,1.0430033393987637,32,32
25,6,0.005607679020613432,3.415181026866776e-06,3.5163379834557418e-06,1.0296197934437963,64,64
25,7,0.005607679020613432,8.510021416441305e-07,9.061456012204872e-07,1.0647982618114449,128,128
25,8,0.005607679020613432,2.0996152727548179e-07,2.2752568895612058e-07,1.0836541908822828,256,256
26,1,0.005556069780141115,0.002019983483478427,0.002019983483478427,1.0,2,2
26,2,0.005556069780141115,0.0006476671551354229,0.0006476675625890493,1.0000006291096024,4,4
26,3,0.005556069780141115,0.0001906405232148245,0.00019068221445195377,1.0002186903205375,8,8
26,4,0.005556069780141115,5.230313036008738e-05,5.2736486395588145e-05,1.0082854703440745,16,16
26,5,0.005556069780141115,1.3752342965744901e-05,1.3966420738142915e-05,1.0155666400213585,32,32
26,6,0.005556069780141115,3.511012664603186e-06,3.6270596410759026e-06,1.0330522807971223,64,64
26,7,0.005556069780141115,8.704378160473425e-07,9.159849128081987e-07,1.0523266520837589,128,128
